"","difference","method","beta","sigma","xi","n","alpha","time","hatsigma","hatxi"
"484","-0.758233682519889","CVM","0.98","0.5","-0.15","2000","0.1","0.0104458332061768","0.519363243973662","-0.0408483774391492"
"485","-1.34269696099381","Langousis","0.98","0.5","-0.15","2000","0.05","0.413432836532593","0.733539064001022","-0.17073221986062"
"486","-1.95374891063182","Residuals","0.98","0.5","-0.15","2000","0.05","0.0310370922088623","1.00002420151931","-0.25343543407037"
"487","-0.753244683613242","AD","0.98","0.5","-0.15","2000","0.05","0.0113980770111084","0.694627737120028","-0.229719306694755"
"488","-0.753244683613242","CVM","0.98","0.5","-0.15","2000","0.05","0.0132279396057129","0.694627737120028","-0.229719306694755"
"489","-1.00660416365126","Langousis","0.98","0.5","-0.15","2000","0.005","0.400518894195557","0.55462827783305","-0.0859034619567335"
"490","-0.997488372770898","Residuals","0.98","0.5","-0.15","2000","0.005","0.0376181602478027","0.542823186322486","-0.0750581853392124"
"491","-0.759407473015298","AD","0.98","0.5","-0.15","2000","0.005","0.0108010768890381","0.515439928483975","-0.06372347436702"
"492","-0.759407473015298","CVM","0.98","0.5","-0.15","2000","0.005","0.0121500492095947","0.515439928483975","-0.06372347436702"
"493","-1.09610016393742","Langousis","0.98","0.5","-0.15","2000","0.001","0.429315090179443","0.591969702187949","-0.0901523725939959"
"494","-0.962969211336588","Residuals","0.98","0.5","-0.15","2000","0.001","0.0447940826416016","0.531647318708237","-0.0391282172922705"
"495","-0.718555982246955","AD","0.98","0.5","-0.15","2000","0.001","0.138322830200195","0.5057444954567","-0.0171327392548514"
"496","-0.759390668226402","CVM","0.98","0.5","-0.15","2000","0.001","0.0100579261779785","0.529823448511679","-0.0452068803770474"
"497","-0.851796713766408","Langousis","0.98","0.5","-0.15","10000","0.1","2.89535593986511","0.565137568614912","-0.113947252991444"
"498","-1.26993253502821","Residuals","0.98","0.5","-0.15","10000","0.1","0.337767124176025","0.647717160579664","-0.139662004165431"
"499","-0.782794316227856","AD","0.98","0.5","-0.15","10000","0.1","0.0222840309143066","0.56896639233222","-0.125031291692881"
"500","-0.782794316227856","CVM","0.98","0.5","-0.15","10000","0.1","0.0238590240478516","0.56896639233222","-0.125031291692881"
"501","-0.977041402716357","Langousis","0.98","0.5","-0.15","10000","0.05","2.81122708320618","0.590577487639077","-0.141967338128842"
"502","-1.20755003082194","Residuals","0.98","0.5","-0.15","10000","0.05","0.325513124465942","0.624519369911202","-0.14294630521906"
"503","-0.792473017354387","AD","0.98","0.5","-0.15","10000","0.05","0.0250961780548096","0.560054341082076","-0.138298129613607"
"504","-0.792473017354387","CVM","0.98","0.5","-0.15","10000","0.05","0.0241851806640625","0.560054341082076","-0.138298129613607"
"505","-1.11184754250779","Langousis","0.98","0.5","-0.15","10000","0.005","2.85271000862122","0.623534107465673","-0.153078337494353"
"506","-1.15955341017066","Residuals","0.98","0.5","-0.15","10000","0.005","0.326274156570435","0.631382581747152","-0.153394026991702"
"507","-0.781840877838421","AD","0.98","0.5","-0.15","10000","0.005","0.0268979072570801","0.56942616220234","-0.150201335150514"
"508","-0.781840877838421","CVM","0.98","0.5","-0.15","10000","0.005","0.0206179618835449","0.56942616220234","-0.150201335150514"
"509","-0.956582495325387","Langousis","0.98","0.5","-0.15","10000","0.001","2.6798779964447","0.576842573730141","-0.12156449519545"
"510","-0.945661136943067","Residuals","0.98","0.5","-0.15","10000","0.001","0.286986827850342","0.571918432359013","-0.118413531870192"
"511","-0.0615164905925663","AD","0.98","0.5","-0.15","10000","0.001","12.410717010498","0.535499766846384","-0.178703726994344"
"512","-0.773222910381015","CVM","0.98","0.5","-0.15","10000","0.001","0.0518889427185059","0.549532474806849","-0.117109342944111"
"513","-1.50378730554251","Langousis","0.98","0.5","0","2000","0.1","0.396931886672974","0.727450529689421","-0.0812303559133522"
"514","-1.95374891063182","Residuals","0.98","0.5","0","2000","0.1","0.0289969444274902","0.905647297549756","-0.146748644781848"
"515","-0.778225467668001","AD","0.98","0.5","0","2000","0.1","0.0103490352630615","0.612645800538642","-0.0265532807071979"
"516","-0.778225467668001","CVM","0.98","0.5","0","2000","0.1","0.0123851299285889","0.612645800538642","-0.0265532807071979"
"517","-1.17044707779927","Langousis","0.98","0.5","0","2000","0.05","0.432987928390503","0.724568099973098","-0.116772842330455"
"518","-1.16669106515495","Residuals","0.98","0.5","0","2000","0.05","0.0424821376800537","0.72415059316259","-0.116740407713084"
"519","-0.717265297595891","AD","0.98","0.5","0","2000","0.05","0.0115280151367188","0.658238882020103","-0.100642981695076"
"520","-0.717265297595891","CVM","0.98","0.5","0","2000","0.05","0.0102899074554443","0.658238882020103","-0.100642981695076"
"521","-0.970652869586378","Langousis","0.98","0.5","0","2000","0.005","0.422941923141479","0.577669559523355","-0.107107678698313"
"522","-0.929397285730382","Residuals","0.98","0.5","0","2000","0.005","0.0431699752807617","0.57195276376541","-0.105880332391401"
"523","-0.721042313849459","AD","0.98","0.5","0","2000","0.005","0.0110790729522705","0.556148794960319","-0.115628563709606"
"524","-0.721042313849459","CVM","0.98","0.5","0","2000","0.005","0.0133249759674072","0.556148794960319","-0.115628563709606"
"525","-1.27261147080733","Langousis","0.98","0.5","0","2000","0.001","0.41637110710144","0.64120775910573","-0.135756827155703"
"526","-1.07392085607003","Residuals","0.98","0.5","0","2000","0.001","0.0393481254577637","0.566783380309708","-0.0972815030887372"
"527","-0.78930842921522","AD","0.98","0.5","0","2000","0.001","0.0114622116088867","0.524890653906643","-0.0841635435952823"
"528","-0.78930842921522","CVM","0.98","0.5","0","2000","0.001","0.0145590305328369","0.524890653906643","-0.0841635435952823"
"529","-1.08843625775058","Langousis","0.98","0.5","0","10000","0.1","2.81346988677979","0.563814387176537","-0.0575742001270212"
"530","-1.16444342460121","Residuals","0.98","0.5","0","10000","0.1","0.328868865966797","0.578483279062883","-0.0661589755511565"
"531","-0.804002196414457","AD","0.98","0.5","0","10000","0.1","0.0208070278167725","0.540027371997775","-0.0516883567226169"
"532","-0.804002196414457","CVM","0.98","0.5","0","10000","0.1","0.0212619304656982","0.540027371997775","-0.0516883567226169"
"533","-1.20681477456173","Langousis","0.98","0.5","0","10000","0.05","2.78101110458374","0.598771844677894","-0.0849461698009857"
"534","-0.560208242128321","Residuals","0.98","0.5","0","10000","0.05","0.353700160980225","0.414107170839227","0.0618095029157835"
"535","-0.591119939919477","AD","0.98","0.5","0","10000","0.05","5.55569696426392","0.435144639657685","0.0366409562144308"
"536","-0.691992429741032","CVM","0.98","0.5","0","10000","0.05","2.99692106246948","0.471875073526339","-0.00227729909476538"
"537","-0.526782904750827","Langousis","0.98","0.5","0","10000","0.005","2.81292200088501","0.457405782402453","0.011847127385355"
"538","-0.480610465202557","Residuals","0.98","0.5","0","10000","0.005","0.338793992996216","0.447637624567821","0.0232309025823992"
"539","-0.754589903500172","AD","0.98","0.5","0","10000","0.005","0.0243930816650391","0.511316209262521","-0.0363431557425891"
"540","-0.754589903500172","CVM","0.98","0.5","0","10000","0.005","0.0217490196228027","0.511316209262521","-0.0363431557425891"
"541","-0.692535330979056","Langousis","0.98","0.5","0","10000","0.001","2.82447695732117","0.482265816223607","-0.0323283050034271"
"542","-0.679110903026473","Residuals","0.98","0.5","0","10000","0.001","0.357635021209717","0.478477488103219","-0.0288070340417348"
"543","-0.747899210237797","AD","0.98","0.5","0","10000","0.001","0.0219669342041016","0.508767553902718","-0.0560362500529668"
"544","-0.747899210237797","CVM","0.98","0.5","0","10000","0.001","0.0218331813812256","0.508767553902718","-0.0560362500529668"
"545","-1.08617573714207","Langousis","0.98","0.5","0.15","2000","0.1","0.38872218132019","0.587128990956517","-0.00521383585510894"
"546","-1.95374891063182","Residuals","0.98","0.5","0.15","2000","0.1","0.0306980609893799","0.876706186836509","-0.134629127580707"
"547","-0.777661493531021","AD","0.98","0.5","0.15","2000","0.1","0.00973105430603027","0.522191248154716","0.057138866121768"
"548","-0.777661493531021","CVM","0.98","0.5","0.15","2000","0.1","0.0120151042938232","0.522191248154716","0.057138866121768"
"549","-1.20683328569922","Langousis","0.98","0.5","0.15","2000","0.05","0.425194025039673","0.581248266450483","0.00759358146362718"
"550","-1.95374891063182","Residuals","0.98","0.5","0.15","2000","0.05","0.0338401794433594","1.37739767198292","-1.53858485847115"
"551","-0.748695575857265","AD","0.98","0.5","0.15","2000","0.05","0.0140640735626221","0.534961364238594","0.0401491497336823"
"552","-0.748695575857265","CVM","0.98","0.5","0.15","2000","0.05","0.0121290683746338","0.534961364238594","0.0401491497336823"
"553","-1.45138336539867","Langousis","0.98","0.5","0.15","2000","0.005","0.417376041412354","0.686673692283856","-0.0558305078917378"
"554","-1.43475615223345","Residuals","0.98","0.5","0.15","2000","0.005","0.0518529415130615","0.678456774706088","-0.0510403513270721"
"555","-0.711618249213708","AD","0.98","0.5","0.15","2000","0.005","0.0696918964385986","0.481903769143412","0.114537526374329"
"556","-0.753045868435563","CVM","0.98","0.5","0.15","2000","0.005","0.0102970600128174","0.532836604786654","0.0626443484503874"
"557","-1.15715332656891","Langousis","0.98","0.5","0.15","2000","0.001","0.459694147109985","0.530141313893472","0.0359433073789408"
"558","-1.15647208991959","Residuals","0.98","0.5","0.15","2000","0.001","0.0431919097900391","0.533863315252455","0.0327495531661075"
"559","-0.743013807043221","AD","0.98","0.5","0.15","2000","0.001","0.00938296318054199","0.434302710775637","0.151667995390798"
"560","-0.743013807043221","CVM","0.98","0.5","0.15","2000","0.001","0.00991106033325195","0.434302710775637","0.151667995390798"
"561","-0.595478296276718","Langousis","0.98","0.5","0.15","10000","0.1","2.78219985961914","0.431324769879557","0.0941654377311437"
"562","-0.596595075739304","Residuals","0.98","0.5","0.15","10000","0.1","0.365056037902832","0.432365684691892","0.092862288854925"
"563","-0.607427510208292","AD","0.98","0.5","0.15","10000","0.1","4.05820989608765","0.44359835202011","0.0793119102885904"
"564","-0.654628713272711","CVM","0.98","0.5","0.15","10000","0.1","3.00119018554688","0.467190245201951","0.0515963844963689"
"565","-0.864115051882277","Langousis","0.98","0.5","0.15","10000","0.05","2.79880595207214","0.527085175728939","0.022819256322171"
"566","-1.2215044050364","Residuals","0.98","0.5","0.15","10000","0.05","0.325515985488892","0.583278793027575","-0.015495313585536"
"567","-0.796388718602808","AD","0.98","0.5","0.15","10000","0.05","0.0221598148345947","0.528742931716697","0.0227090499410926"
"568","-0.796388718602808","CVM","0.98","0.5","0.15","10000","0.05","0.0218541622161865","0.528742931716697","0.0227090499410926"
"569","-0.408860340348826","Langousis","0.98","0.5","0.15","10000","0.005","2.82256603240967","0.425327835656403","0.183491863790068"
"570","-0.723763564950427","Residuals","0.98","0.5","0.15","10000","0.005","0.350697994232178","0.468074231806874","0.0973937234311639"
"571","-0.775894492263995","AD","0.98","0.5","0.15","10000","0.005","0.0430500507354736","0.480911029780631","0.0806403187510184"
"572","-0.775902476046543","CVM","0.98","0.5","0.15","10000","0.005","0.0195670127868652","0.479973447664572","0.081531533838221"
"573","-0.453360197463568","Langousis","0.98","0.5","0.15","10000","0.001","3.10419011116028","0.431776804649226","0.136952939380884"
"574","-0.596456501513619","Residuals","0.98","0.5","0.15","10000","0.001","0.362617015838623","0.438728547221668","0.111115269099838"
"575","-0.781406892941789","AD","0.98","0.5","0.15","10000","0.001","0.255136966705322","0.493115768313428","0.0442729666715813"
"576","-0.787318350160472","CVM","0.98","0.5","0.15","10000","0.001","0.0257720947265625","0.492852029742058","0.0442946427839446"
"577","-1.01411381402156","Langousis","0.98","5","-0.15","2000","0.1","0.438430070877075","0.400037365549816","0.579291931697233"
"578","-1.07756113220687","Residuals","0.98","5","-0.15","2000","0.1","0.0493500232696533","0.429887968373788","0.520390098401492"
"579","-0.054265325822263","AD","0.98","5","-0.15","2000","0.1","1.53216195106506","3.19137054568085","0.213170582362097"
"580","-0.0659576020685255","CVM","0.98","5","-0.15","2000","0.1","1.54927897453308","2.63347104283511","0.351155125636595"
"581","-1.43171112694655","Langousis","0.98","5","-0.15","2000","0.05","0.407023906707764","0.529216640552489","0.428747208177936"
"582","0.323361103561894","Residuals","0.98","5","-0.15","2000","0.05","0.0510149002075195","4.79951183908167","-0.0526257224747057"
"583","-0.0784578481730231","AD","0.98","5","-0.15","2000","0.05","1.46733689308167","4.81004419548321","-0.0511873737218971"
"584","-0.138776406066375","CVM","0.98","5","-0.15","2000","0.05","1.43933796882629","4.26441052110414","0.00764528814760788"
"585","-1.01914694821148","Langousis","0.98","5","-0.15","2000","0.005","0.435155153274536","0.428026767581318","0.590358006318962"
"586","-1.34363175110646","Residuals","0.98","5","-0.15","2000","0.005","0.043848991394043","0.484997047937051","0.402902664139882"
"587","-0.126497026521837","AD","0.98","5","-0.15","2000","0.005","1.46881103515625","1.82002113448355","0.64620201655434"
"588","-0.625828167477831","CVM","0.98","5","-0.15","2000","0.005","0.447650909423828","0.316124980987353","1.00281509140929"
"589","-0.961299682617459","Langousis","0.98","5","-0.15","2000","0.001","0.438918113708496","0.451349848409004","0.591287180878842"
"590","-1.260666692089","Residuals","0.98","5","-0.15","2000","0.001","0.0430569648742676","0.50703810404182","0.426651949917233"
"591","-0.0716999577915434","AD","0.98","5","-0.15","2000","0.001","1.46353507041931","3.11640052004387","0.156905781505155"
"592","-0.749806654818885","CVM","0.98","5","-0.15","2000","0.001","0.0512180328369141","0.385669179496484","0.811538568894957"
"593","-1.63122093845123","Langousis","0.98","5","-0.15","10000","0.1","2.58164811134338","0.634535432700433","0.258078379689793"
"594","0.0506026624284406","Residuals","0.98","5","-0.15","10000","0.1","0.25538182258606","5.341109851469","-0.308748177300359"
"595","-0.0112482831209695","AD","0.98","5","-0.15","10000","0.1","12.8647899627686","5.24146231203402","-0.295635313652489"
"596","-0.0112482831209695","CVM","0.98","5","-0.15","10000","0.1","13.3823680877686","5.24146231203402","-0.295635313652489"
"597","-1.57742235576042","Langousis","0.98","5","-0.15","10000","0.05","3.02407097816467","0.605319708598423","0.312154964390875"
"598","0.0230675564106311","Residuals","0.98","5","-0.15","10000","0.05","0.364634037017822","5.09948601525467","-0.111642758594717"
"599","-0.015642171089377","AD","0.98","5","-0.15","10000","0.05","13.6123089790344","4.83334109934882","-0.0839387187336217"
"600","-0.02295719412525","CVM","0.98","5","-0.15","10000","0.05","13.701339006424","4.6772938803189","-0.0663467402110381"
"601","-1.62587044841758","Langousis","0.98","5","-0.15","10000","0.005","2.87129616737366","0.59265215443925","0.30627890990325"
"602","0.0593766507562337","Residuals","0.98","5","-0.15","10000","0.005","0.348656177520752","5.3582743277269","-0.202863768135815"
